artifact,done
com.payulatam.fraudvault:fd-client-core,true
com.playtika.sleuth:sleuth-camel-core,true
com.playtika.testcontainers:embedded-keycloak,true
com.playtika.reactivefeign:feign-reactor-core,true
com.peertopark.java:validators,true
com.pojosontheweb:woko-builtin-auth-web,true
com.playtika.testcontainers:embedded-localstack,true
com.pojosontheweb:woko-blobs,true
com.pojosontheweb:woko-compass-hibernate-web,true
com.piaoniu:pndao,true
com.pig4cloud:pigx-common-swagger,true
com.playtika.testcontainers:embedded-consul,true
com.phonepe.sentinel-ai:sentinel-ai-embedding,true
com.payneteasy.superfly:superfly-spring-security-common,true
com.peterphi.user-manager:user-manager-api,true
com.playtika.testcontainers:embedded-nats,true
com.peterphi.std.config:host-agent,true
com.pontusvision:janusgraph-server,true
com.playtika.testcontainers:embedded-influxdb,true
com.pig4cloud.plugin:datav-security-blade-login-plugin,true
com.playtika.reactivefeign:feign-reactor-parent,true
com.planet57.gossip:gossip-bootstrap-slf4j,true
com.perficient.aem:weretail-reference,true
com.playtika.janusgraph:aerospike-container,true
com.pojosontheweb:woko-web-lithium,true
com.pojosontheweb:woko-usermanagement-hibernate,true
com.phonepe.drove:drove-client-httpcomponent-transport,true
com.pocketcombats.spring-jpa-admin:annotation,true
com.pingcap.tispark:spark-wrapper-spark-3.3_2.12,true
com.playtika.testcontainers:embedded-mockserver,true
com.playtika.testcontainers:embedded-oracle-xe,true
com.playtika.testcontainers:embedded-clickhouse,true
com.plumelog:plumelog-dubbo,true
com.pingcap.tispark:tispark-assembly-3.1_2.12,true
com.pentahohub:webjars-extjs,true
com.playtika.testcontainers:embedded-vertica,true
com.payneteasy.superfly:superfly-spi-support,true
com.peterphi.std.config:service-manager,true
com.pojosontheweb:woko-usermanagement-core,true
com.pig4cloud:pigx-common-sequence,true
com.payneteasy.superfly:superfly-spring-security,true
com.pig4cloud.plugin:datav-security-ruoyi-login-plugin,true
com.phonepe.drove:drove-hazelcast-discovery,true
com.pojosontheweb:woko-tinymce-web,true
com.pinterest.l10nmessages:l10nmessages-mvn-plugin,true
com.peterphi.std.config:config-parent,true
com.pingidentity.sdks:binding-ui,true
com.pojosontheweb:woko-builtin-auth-core,true
com.playtika.reactivefeign:feign-reactor-jetty,true
com.pig4cloud.spring.boot:mybatis-spring-boot,true
com.peterlavalle.libgdx:demos,true
com.payu.ratel:ratel-core,true
com.pkware.ahocorasick:LowMemoryAhoCorasick,true
com.playtika.reactivefeign:feign-reactor-jetty-http2,true
com.pep1:pep1-commons,true
com.pig4cloud:pigx-common-log,true
com.playtika.testcontainers:embedded-git,true
com.playtika.testcontainers:testcontainers-spring-boot-parent,true
com.peircean.libgfapi-jni:libgfapi-linux64,true
com.playtika.testcontainers:embedded-postgresql,true
com.pi4j:pi4j-distribution,true
com.playtika.testcontainers:embedded-victoriametrics,true
com.pixelduke:fxthemes,true
com.polarcoral.monica:monica-examples,true
com.pholser:lambspec-adapters,true
com.pocketcombats.spring-jpa-admin.plugin:auth,true
com.phonepe.sentinel-ai:sentinel-ai-storage-es,true
com.pojosontheweb:woko-hibernate,true
com.playtika.reactivefeign:feign-reactor-java11,true
com.pig4cloud:pig-common-mybatis,true
com.platopen:opensdk,true
com.pingcap.tispark:spark-wrapper-spark-3.2_2.12,true
com.pig4cloud.plugin:nacos-dm-datasource-plugin,true
com.pogofish.jadt:jADT-samples,true
com.polarcoral.monica:monica-cluster,true
com.plumelog:spring-boot-schedule-admin-starter,true
com.pojosontheweb:woko-usermanagement,true
com.pojosontheweb:woko-compass-hibernate,true
com.playtika.testcontainers:embedded-k3s,true
com.playtika.testcontainers:embedded-cassandra,true
com.pontusvision:janusgraph-hadoop,true
com.pojosontheweb:woko-web-bootstrap,true
com.pontusvision:janusgraph-test,true
com.pig4cloud.plugin:magic-editor,true
com.pingcap.tispark:spark-wrapper-spark-3.0_2.12,true
com.payu:payu-public-sec-rules,true
com.pontusvision:example-tinkergraph,true
com.pig4cloud.plugin:nacos-oracle-datasource-plugin,true
com.pontusvision:janusgraph-es,true
com.pig4cloud:pigx-common-datasource,true
com.pojosontheweb:woko-asyncjobs,true
com.pexip.sdk:sdk-media-webrtc-compose,true
com.pig4cloud.plugin:datav-security-pig-login-plugin,true
com.playtika.testcontainers:embedded-spicedb,true
