artifact;repository
javax.el:el-api;svn+ssh://janey@svn.java.net/uel~svn/tags/uel-api-2.2.1-b04
org.bouncycastle:bc-fips;bcgit@git.bouncycastle.org:bc-fips-2.1.X-java.git
com.caucho:hessian;svn://svn.caucho.com/home/svn/svnroot/resin/trunk/modules/hessian
org.osgi:org.osgi.core;private
org.osgi:org.osgi.compendium;private
org.apache.logging.log4j:log4j-core;org.apache.logging.log4j:log4j-slf4j2-impl
com.ibm.jbatch:com.ibm.jbatch-tck-spi;git://java.net/jbatch~jsr-352-git-repository
wang.moshu:mt-framework;git@git.oschina.net:1028125449/message-trunk.git
xyz.gunanyi:currency;git@gitee.com/zeng_bowang/project_currency.git
wang.leq:kisso;git@git.oschina.net:juapk/kisso.git
wang.moshu:smvc-framework;git@git.oschina.net:1028125449/SMVC.git
us.ihmc:test-project;notset
com.aliyun.openservices:ons-client;git@gitlab.alibaba-inc.com:rocketmq-client/ons-java.git
com.jfinal:enjoy;git@gitee.com:jfinal/enjoy.git
com.github.xiaoymin:knife4j-spring-ui;git@gitee.com:xiaoym/knife4j.git
org.glassfish.web:el-impl;svn+ssh://janey@svn.java.net/uel~svn/tags/uel-impl-2.2.1-b05
com.github.xiaoymin:knife4j-spring-boot-starter;git@gitee.com:xiaoym/knife4j.git
com.github.xiaoymin:swagger-bootstrap-ui;git@git.oschina.net:xiaoym/swagger-bootstrap-ui.git
org.apache.tamaya:tamaya-core; https://gitbox.apache.org/repos/asf?p=incubator-tamaya.git 
org.osgi:core;private
com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter;git@gitee.com:xiaoym/knife4j.git
ua.in.dej:lesscss-maven-sources;scm:git:git@git.dejin.pp.ua:fima/lesscss-maven-sources.git
ua.in.dej:myLessCss-parent;scm:git:git@git.dej.in.ua:fima/mylesscss-maven-plugin.git
ua.in.dej:myLessCss;scm:git:git@git.dej.in.ua:fima/mylesscss-maven-plugin.git
uk.org.subtrack.imaging:image-servlet-scala;scm:svn:https://imageservlet.svn.sourceforge.net/svnroot/imageservlet/tags/imaging-1.1.0-beta2
ua.in.dej:fileStructureToJS;scm:git:git@git.dejin.pp.ua:fima/filestructuretojs.git
uk.co.mgbramwell.geofire:geofire-android;class java.net.URL
uk.org.subtrack.imaging:image-servlet-demo;scm:svn:https://imageservlet.svn.sourceforge.net/svnroot/imageservlet/tags/imaging-1.1.0-beta2
com.technophobia.substeps:webdriver-substeps;${webdriver-substeps.scm.url}
org.mortbay.jetty:jsp-2.1-glassfish;scm:svn:https://svn.codehaus.org/jetty/jsp/tags/jetty-jsp-9.1.1.B60.25.p2
com.fossgalaxy.util:object-creator;scm:git:git@git.fossgalaxy.com:iggi/object-creator.git
com.technophobia.substeps:substeps-bom;${substeps-bom.scm.url}
top.kiswich:excel-count;git@git.oschina.net:songxinqiang/OSSParent.git
top.yoohome:util-core;git@gitee.com:yoohome-repo/util-test.git
top.52helper:maven-central-publish-jar;sxy
top.52helper:maven-publish;this is a default description
top.wdcc:eslclient-spring-boot-starter;git@gitee.com:Tangwego/eslclient-springboot-starter.git
top.hequehua:jfinal-swagger;git@gitee.com:zdkhqh/JfinalSwagger.git
top.xtcoder:prtest;git@gitee.com:xtsdstcml/jdcbase
top.xtcoder:clove-parent;git@gitee.com:xtsdstcml/clove-frame
top.52helper.quickly-web:top.52helper.quickly-web.gradle.plugin;this is a default description
top.weihuazhou:security-test;scm:git@gitee.com/wei_hua_zhou/security-test.git
top.yoohome:util-all;git@gitee.com:yoohome-repo/util-test.git
top.52helper.quickly-starter:top.52helper.quickly-starter.gradle.plugin;this is a default description
top.xtcoder:jdcbase-parent;git@gitee.com:xtsdstcml/jdcbase
top.52helper.maven-central-publish-jar:top.52helper.maven-central-publish-jar.gradle.plugin;sxy
top.yoohome:UTools-json;git@gitee.com:yoohome-repo/UTools.git
top.huthrc:test;仓库地址，不带.git
top.yoohome:UTools-parent;git@gitee.com:yoohome-repo/UTools.git
