artifact;repo
commons-beanutils:commons-beanutils;https://gitbox.apache.org/repos/asf/commons-beanutils
commons-cli:commons-cli;https://gitbox.apache.org/repos/asf/commons-cli
commons-dbutils:commons-dbutils;https://gitbox.apache.org/repos/asf/commons-dbutils
commons-fileupload:commons-fileupload;https://gitbox.apache.org/repos/asf/commons-fileupload
commons-logging:commons-logging;https://gitbox.apache.org/repos/asf/commons-logging
commons-net:commons-net;https://gitbox.apache.org/repos/asf/commons-net
commons-validator:commons-validator;https://gitbox.apache.org/repos/asf/commons-parent
org.apache.ant:ant;https://gitbox.apache.org/repos/asf/ant
org.apache.ant:ant-launcher;https://gitbox.apache.org/repos/asf/ant
org.apache.commons:commons-compress;https://gitbox.apache.org/repos/asf/commons-compress
org.apache.commons:commons-configuration2;https://gitbox.apache.org/repos/asf/commons-configuration
org.apache.commons:commons-dbcp2;https://gitbox.apache.org/repos/asf/commons-dbcp
org.apache.commons:commons-exec;https://gitbox.apache.org/repos/asf/commons-exec
org.apache.commons:commons-pool2;https://gitbox.apache.org/repos/asf/commons-pool
org.apache.commons:commons-text;https://gitbox.apache.org/repos/asf/commons-text
org.apache.jena:jena-arq;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-core;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-rdfconnection;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-tdb;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-tdb1;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-tdb2;https://gitbox.apache.org/repos/asf/jena
org.apache.johnzon:johnzon-jaxrs;https://gitbox.apache.org/repos/asf/johnzon
org.apache.logging.log4j:log4j-slf4j18-impl;https://gitbox.apache.org/repos/asf/logging-log4j2
org.apache.lucene:lucene-analyzers-common;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.lucene:lucene-analyzers-icu;https://gitbox.apache.org/repos/asf/lucene-solr
