artifact;repo
commons-beanutils:commons-beanutils;https://github.com/apache/commons-beanutils
commons-cli:commons-cli;https://github.com/apache/commons-cli
commons-dbutils:commons-dbutils;https://github.com/apache/commons-dbutils
commons-fileupload:commons-fileupload;https://github.com/apache/commons-fileupload
commons-logging:commons-logging;https://github.com/apache/commons-logging
commons-net:commons-net;https://github.com/apache/commons-net
commons-validator:commons-validator;https://github.com/apache/commons-parent
org.apache.ant:ant;https://github.com/apache/ant
org.apache.ant:ant-launcher;https://github.com/apache/ant
org.apache.commons:commons-compress;https://github.com/apache/commons-compress
org.apache.commons:commons-configuration2;https://github.com/apache/commons-configuration
org.apache.commons:commons-dbcp2;https://github.com/apache/commons-dbcp
org.apache.commons:commons-exec;https://github.com/apache/commons-exec
org.apache.commons:commons-pool2;https://github.com/apache/commons-pool
org.apache.commons:commons-text;https://github.com/apache/commons-text
org.apache.jena:jena-arq;https://github.com/apache/jena
org.apache.jena:jena-core;https://github.com/apache/jena
org.apache.jena:jena-rdfconnection;https://github.com/apache/jena
org.apache.jena:jena-tdb;https://github.com/apache/jena
org.apache.jena:jena-tdb1;https://github.com/apache/jena
org.apache.jena:jena-tdb2;https://github.com/apache/jena
org.apache.johnzon:johnzon-jaxrs;https://github.com/apache/johnzon
org.apache.logging.log4j:log4j-slf4j18-impl;https://github.com/apache/logging-log4j2
org.apache.lucene:lucene-analyzers-common;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-analyzers-icu;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-core;https://github.com/apache/lucene
org.apache.lucene:lucene-facet;https://github.com/apache/lucene
org.apache.lucene:lucene-queries;https://github.com/apache/lucene
org.apache.lucene:lucene-queryparser;https://github.com/apache/lucene
org.apache.lucene:lucene-sandbox;https://github.com/apache/lucene
org.apache.velocity:velocity-engine-core;https://github.com/apache/velocity-engine
org.apache.velocity:velocity-engine-scripting;https://github.com/apache/velocity-engine
org.apache.xmlgraphics:xmlgraphics-commons;https://github.com/apache/xmlgraphics-commons
org.apache.zookeeper:zookeeper;https://github.com/apache/zookeeper
org.apache.commons:commons-csv;https://github.com/apache/commons-csv
org.apache.jena:jena-fuseki-main;https://github.com/apache/jena
org.apache.jena:jena-shacl;https://github.com/apache/jena
org.apache.lucene:lucene-highlighter;https://github.com/apache/lucene
commons-daemon:commons-daemon;https://github.com/apache/commons-daemon
org.apache.commons:commons-beanutils2;https://github.com/apache/commons-beanutils
org.apache.commons:commons-email;https://github.com/apache/commons-email
org.apache.geronimo.config:geronimo-config-impl;https://github.com/apache/geronimo-config
org.apache.geronimo.safeguard:safeguard-impl;https://github.com/apache/geronimo-safeguard
org.apache.ant:ant-testutil;https://github.com/apache/ant
org.apache.cxf:cxf-integration-cdi;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-transports-http;https://github.com/apache/cxf
org.apache.ignite:ignite-indexing;https://github.com/apache/ignite/ignite-parent-internal/ignite-indexing
org.apache.cassandra:cassandra-all;https://github.com/apache/cassandra
org.apache.jena:jena-jdbc-core;https://github.com/apache/jena
org.apache.jena:jena-jdbc-driver-remote;https://github.com/apache/jena
org.apache.solr:solr-core;https://github.com/apache/solr
org.apache.solr:solr-solrj;https://github.com/apache/solr
org.apache.johnzon:johnzon-jsonb;https://github.com/apache/johnzon
org.apache.ant:ant-junit;https://github.com/apache/ant
org.apache.ant:ant-junit4;https://github.com/apache/ant
org.apache.openjpa:openjpa;https://github.com/apache/openjpa
org.apache.cxf:cxf-rt-rs-client;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-mp-client;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-sse;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-wsdlto-core;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-wsdlto-databinding-jaxb;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-wsdlto-frontend-jaxws;https://github.com/apache/cxf
org.apache.accumulo:accumulo-core;https://github.com/apache/accumulo
org.apache.accumulo:accumulo-minicluster;https://github.com/apache/accumulo
org.apache.accumulo:accumulo-server-base;https://github.com/apache/accumulo
org.apache.commons:commons-rng-client-api;https://github.com/apache/commons-rng
org.apache.commons:commons-rng-simple;https://github.com/apache/commons-rng
org.apache.commons:commons-statistics-inference;https://github.com/apache/commons-statistics
org.apache.cxf:cxf-rt-bindings-soap;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-frontend-simple;https://github.com/apache/cxf
org.apache.hbase:hbase-client;https://github.com/apache/hbase/hbase-build-configuration/hbase-client
org.apache.hbase:hbase-common;https://github.com/apache/hbase/hbase-build-configuration/hbase-common
org.apache.hbase:hbase-server;https://github.com/apache/hbase/hbase-build-configuration/hbase-server
org.apache.hbase:hbase-testing-util;https://github.com/apache/hbase/hbase-build-configuration/hbase-testing-util
org.apache.jena:apache-jena-libs;https://github.com/apache/jena
org.apache.qpid:qpid-broker;https://github.com/apache/qpid-broker-j
org.apache.solr:solr-velocity;https://github.com/apache/lucene-solr
org.apache.ant:ant-junitlauncher;https://github.com/apache/ant
org.apache.cxf:cxf-core;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-frontend-jaxws;https://github.com/apache/cxf
org.apache.xbean:xbean-spring;https://github.com/apache/geronimo-xbean
org.apache.accumulo:accumulo-shell;https://github.com/apache/accumulo
org.apache.bcel:bcel;https://github.com/apache/commons-bcel
org.apache.commons:commons-rng-sampling;https://github.com/apache/commons-rng
org.apache.lucene:lucene-analyzers-kuromoji;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-analyzers-phonetic;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-codecs;https://github.com/apache/lucene
org.apache.lucene:lucene-expressions;https://github.com/apache/lucene
org.apache.lucene:lucene-grouping;https://github.com/apache/lucene
org.apache.lucene:lucene-join;https://github.com/apache/lucene
org.apache.lucene:lucene-memory;https://github.com/apache/lucene
org.apache.lucene:lucene-misc;https://github.com/apache/lucene
org.apache.lucene:lucene-spatial;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-suggest;https://github.com/apache/lucene
org.apache.sis.core:sis-referencing;https://github.com/apache/sis
org.apache.commons:commons-imaging;https://github.com/apache/commons-imaging
org.apache.santuario:xmlsec;https://github.com/apache/santuario-xml-security-java
org.apache.solr:solr-cell;https://github.com/apache/lucene-solr
org.apache.solr:solr-langid;https://github.com/apache/solr
org.apache.cassandra:cassandra-thrift;https://github.com/apache/cassandra
org.apache.hbase:hbase-hadoop-compat;https://github.com/apache/hbase/hbase-build-configuration/hbase-hadoop-compat
org.apache.hbase:hbase-hadoop2-compat;https://github.com/apache/hbase/hbase-build-configuration/hbase-hadoop2-compat
org.apache.hbase:hbase-protocol;https://github.com/apache/hbase/hbase-build-configuration/hbase-protocol
org.apache.felix:org.apache.felix.framework;https://github.com/apache/felix-dev
org.apache.jena:jena-querybuilder;https://github.com/apache/jena
org.apache.commons:commons-statistics-distribution;https://github.com/apache/commons-statistics
org.apache.cxf:cxf-rt-frontend-jaxrs;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-transports-local;https://github.com/apache/cxf
org.apache.commons:commons-jexl3;https://github.com/apache/commons-jexl
org.apache.cxf:cxf-rt-transports-http-jetty;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-ws-security;https://github.com/apache/cxf
org.apache.kylin:kylin-jdbc;https://github.com/apache/kylin
org.apache.velocity.tools:velocity-tools-generic;https://github.com/apache/velocity-tools
org.apache.cxf:cxf-rt-ws-policy;https://github.com/apache/cxf
org.apache.lucene:lucene-analyzers-smartcn;https://github.com/apache/lucene-solr
org.apache.ignite:ignite-slf4j;https://github.com/apache/ignite/ignite-parent-internal/ignite-slf4j
org.apache.lucene:lucene-backward-codecs;https://github.com/apache/lucene
org.apache.lucene:lucene-test-framework;https://github.com/apache/lucene
org.apache.lucene:lucene-analysis-common;https://github.com/apache/lucene
org.apache.commons:commons-crypto;https://github.com/apache/commons-crypto
org.apache.xbean:xbean-asm9-shaded;https://github.com/apache/geronimo-xbean
org.apache.felix:org.apache.felix.eventadmin;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.log;https://github.com/apache/felix-dev
org.apache.hbase:hbase-mapreduce;https://github.com/apache/hbase/hbase-build-configuration/hbase-mapreduce
org.apache.lucene:lucene-parent;https://github.com/apache/lucene-solr
org.apache.felix:org.apache.felix.main;https://github.com/apache/felix-dev
org.apache.commons:commons-vfs2;https://github.com/apache/commons-vfs
org.apache.felix:org.apache.felix.configadmin;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.fileinstall;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.gogo.command;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.gogo.runtime;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.gogo.shell;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.http.jetty;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.http.servlet-api;https://github.com/apache/felix-dev
org.apache.beam:beam-runners-direct-java;https://github.com/apache/beam
org.apache.beam:beam-sdks-java-core;https://github.com/apache/beam
org.apache.xbean:xbean-reflect;https://github.com/apache/geronimo-xbean
org.apache.aries.spifly:org.apache.aries.spifly.dynamic.bundle;https://github.com/apache/aries
javax.jdo:jdo-api;https://github.com/apache/db-jdo
org.apache.bval:bval-jsr;https://github.com/apache/bval
org.apache.cxf:cxf;https://github.com/apache/cxf
org.apache.qpid:qpid-client;https://github.com/apache/qpid-jms-amqp-0-x
org.apache.xbean:xbean;https://github.com/apache/geronimo-xbean
org.apache.aries.proxy:org.apache.aries.proxy;https://github.com/apache/aries
org.apache.ant:ant-apache-regexp;https://github.com/apache/ant
org.apache.myfaces.core:myfaces-api;https://github.com/apache/myfaces-master-pom
org.apache.myfaces.core:myfaces-impl;https://github.com/apache/myfaces-master-pom
org.apache.ignite:ignite-core;https://github.com/apache/ignite/ignite-parent-internal/ignite-core
org.apache.aries.blueprint:org.apache.aries.blueprint.core;https://github.com/apache/aries
org.apache.jena:jena-cmds;https://github.com/apache/jena
org.apache.cxf:cxf-rt-features-logging;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-extension-providers;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-security-cors;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-service-description;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-service-description-openapi-v3;https://github.com/apache/cxf
org.apache.cxf:cxf-spring-boot-starter-jaxrs;https://github.com/apache/cxf
org.apache.commons:commons-email2-jakarta;https://github.com/apache/commons-email
org.apache.cxf:cxf-wadl2java-plugin;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-json-basic;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-extension-search;https://github.com/apache/cxf
commons-jxpath:commons-jxpath;https://github.com/apache/commons-jxpath
org.apache.beam:beam-sdks-java-io-google-cloud-platform;https://github.com/apache/beam
org.apache.axis2:axis2-adb;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-jaxws;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-kernel;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-transport-http;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-transport-local;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:mex;https://github.com/apache/axis-axis2-java-core
org.apache.beam:beam-sdks-java-extensions-sql;https://github.com/apache/beam
org.apache.beam:beam-sdks-java-io-kafka;https://github.com/apache/beam
org.apache.neethi:neethi;https://github.com/apache/ws-neethi
org.apache.rampart:rampart;https://github.com/apache/axis-axis2-java-rampart
org.apache.rampart:rampart-core;https://github.com/apache/axis-axis2-java-rampart
org.apache.rampart:rampart-policy;https://github.com/apache/axis-axis2-java-rampart
org.apache.rampart:rampart-trust;https://github.com/apache/axis-axis2-java-rampart
org.apache.ws.commons.axiom:axiom-api;https://github.com/apache/ws-axiom
org.apache.ws.commons.axiom:axiom-dom;https://github.com/apache/ws-axiom
org.apache.ws.commons.axiom:axiom-impl;https://github.com/apache/ws-axiom
org.apache.cxf:cxf-rt-ws-addr;https://github.com/apache/cxf
org.apache.sling:org.apache.sling.servlets.annotations;https://github.com/apache/sling-org-apache-sling-servlets-annotations
org.apache.wss4j:wss4j-ws-security-common;https://github.com/apache/ws-wss4j
org.apache.ignite:ignite-spring;https://github.com/apache/ignite/ignite-parent-internal/ignite-spring
org.apache.ignite:ignite-zookeeper;https://github.com/apache/ignite/ignite-parent-internal/ignite-zookeeper
org.apache.sling:org.apache.sling.jcr.base;https://github.com/apache/sling-org-apache-sling-jcr-base
org.apache.sling:org.apache.sling.commons.classloader;https://github.com/apache/sling-org-apache-sling-commons-classloader
org.apache.sling:org.apache.sling.testing.sling-mock.junit5;https://github.com/apache/sling-org-apache-sling-testing-sling-mock
org.apache.bval:org.apache.bval.bundle;https://github.com/apache/bval
org.apache.ws.xmlschema:xmlschema-core;https://github.com/apache/ws-xmlschema
org.apache.hbase:hbase;https://github.com/apache/hbase
org.apache.lucene:lucene-analyzers-morfologik;https://github.com/apache/lucene-solr
org.apache.lucene:lucene-spatial-extras;https://github.com/apache/lucene
org.apache.lucene:lucene-spatial3d;https://github.com/apache/lucene
org.apache.servicemix.bundles:org.apache.servicemix.bundles.reflections;https://github.com/apache/servicemix-bundles
org.apache.commons:commons-fileupload2-javax;https://github.com/apache/commons-fileupload
org.apache.hbase:hbase-asyncfs;https://github.com/apache/hbase/hbase-build-configuration/hbase-asyncfs
org.apache.hbase:hbase-http;https://github.com/apache/hbase/hbase-build-configuration/hbase-http
org.apache.hbase:hbase-logging;https://github.com/apache/hbase/hbase-build-configuration/hbase-logging
org.apache.hbase:hbase-metrics;https://github.com/apache/hbase/hbase-build-configuration/hbase-metrics
org.apache.hbase:hbase-metrics-api;https://github.com/apache/hbase/hbase-build-configuration/hbase-metrics-api
org.apache.hbase:hbase-zookeeper;https://github.com/apache/hbase/hbase-build-configuration/hbase-zookeeper
org.apache.rat:apache-rat;https://github.com/apache/creadur-rat
org.apache.solr:solr-test-framework;https://github.com/apache/solr
org.apache.servicemix.bundles:org.apache.servicemix.bundles.bcprov-jdk15on;https://github.com/apache/servicemix-bundles
org.apache.commons:commons-fileupload2-jakarta-servlet5;https://github.com/apache/commons-fileupload
org.apache.cxf:cxf-rt-databinding-jaxb;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-java2ws;https://github.com/apache/cxf
org.apache.felix:org.apache.felix.http.base;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.main.distribution;https://github.com/apache/felix-dev
org.apache.karaf.shell:org.apache.karaf.shell.core;https://github.com/apache/karaf
org.apache.jena:apache-jena;https://github.com/apache/jena
org.apache.karaf.features:org.apache.karaf.features.core;https://github.com/apache/karaf
org.apache.karaf.features:base;https://github.com/apache/karaf
