artifact;repository
vip.justlive:oxygen-core;unknown
xfire:xfire;unknown
wtf.metio.maven.boms:maven-boms;unknown
za.co.absa.pramen:pramen-api_2.11;unknown
vn.sohatv:audiocallSDK;unknown
xyz.pixelu.util.android:emoji;unknown
vn.sohatv:SDK_Login_Lotus_Page;unknown
xyz.noark:noark-game;unknown
xyz.rk0cc.willpub:opium;unknown
xfire:xfire-all;unknown
xfire:xfire-picocontainer;unknown
xfire:xfire-plexus;unknown
xfire:xfire-demo;unknown
wtf.metio.maven.boms:maven-boms-kotlin;unknown
wicket:wicket-spring-annot;unknown
xin.altitude.cms:ucode-cms-repeat;unknown
xyz.metakeep.sdk:lib-iosarm64;unknown
vip.isass:super-core-database-sharding-jdbc;unknown
xin.altitude.cms.code:ucode-cms-code-spring-boot-starter;unknown
vn.sohatv:SDK_Login_Kenh14;unknown
ws-commons:axiom;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-parent;unknown
works.lmz.stencil:stencil-core;unknown
za.co.sindi:sindi-commons;unknown
vn.sohatv:videocallSDK;unknown
xmlrpc:xmlrpc-server;unknown
vn.sohatv:MshVideoCall;unknown
xyz.pixelu.ai.android:nsfw-classification;unknown
xbean:xbean;unknown
xyz.seansun:rambutan-spring-boot-starter;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-rocketmq;unknown
xyz.derivora:derivora-properties-support;unknown
xyz.derivora:derivora-commons-parent;unknown
xyz.pixelu.java:nsfw-classification;unknown
xpp3:xpp3_min;unknown
xin.nb1:baseutil;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-core;unknown
xyz.derivora:derivora-properties-impl;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-rabbitmq;unknown
xin.zznzzn:zn-common;unknown
xin.zznzzn:zn-magic;unknown
vdoclet:vdoclet;unknown
vn.sohatv:SDK_Login_Lotus;unknown
work.thisisasite:crashsight;unknown
work.eddiejamsession.avro:jam-avro-nullify;unknown
xyz.derivora:derivora-properties-bom;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-kafka;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-commons;unknown
xin.altitude.code.local:auto-code-local;unknown
xyz.zhenliang.reliable:mq-springboot-reliable-mybatisplus;unknown
xyz.pixelu.ai.java:nsfw-classification;unknown
xyz.derivora:derivora-properties-starter;unknown
androidx.databinding:databinding-common;unknown
com.vividsolutions:jts;unknown
commons-collections:commons-collections;unknown
dom4j:dom4j;unknown
generama:generama;unknown
net.sourceforge.jtds:jtds;unknown
org.apache.logging.log4j:log4j-core;unknown
org.swinglabs:swing-worker;unknown
groovy:groovy;unknown
jmock:jmock;unknown
nekohtml:nekohtml;unknown
qdox:qdox;unknown
rhino:js;unknown
hsqldb:hsqldb;unknown
classworlds:classworlds;unknown
org.jgrapht:jgrapht-jdk1.5;unknown
androidx.room:room-ktx;unknown
com.android.databinding:baseLibrary;unknown
org.codehaus.mojo:javacc-maven-plugin;unknown
uk.org.retep.tools:retepTools;unknown
uk.nominet:dnsjnio;unknown
us.avodagroup:pdfBox;unknown
uk.org.retep.xmpp:retepXMPP;unknown
us.akunevich.protectotron.core:core-mq;unknown
us.avodagroup.connectors:mule-pdfBox-connector;unknown
us.fatehi:schemacrawler-generic;unknown
ua.mobius.media:bootstrap;unknown
us.avodagroup.connectors:mule-textract-connector;unknown
uk.ac.cam.cl.dtg.web:resteasy-docker;unknown
uk.gov.gchq.palisade:deployment-k8s;unknown
us.akunevich.protectotron.core:core-dao;unknown
uk.ac.ebi.mydas:mydas;unknown
uk.org.retep.third-party:third-party;unknown
uk.markhornsby:j2rpc;unknown
us.akunevich.protectotron:logger;unknown
uk.co.gresearch.dgraph:dgraph4j-shaded;unknown
uk.org.retep.doclet:doclet;unknown
com.googlecode.lambdaj:lambdaj;unknown
edu.ucar:netcdf;unknown
androidx.datastore:datastore-iossimulatorarm64;unknown
androidx.datastore:datastore-preferences-iossimulatorarm64;unknown
androidx.datastore:datastore-preferences-macosx64;unknown
net.sourceforge.findbugs:jsr305;unknown
org.apache.logging.log4j.adapters:log4j-to-slf4j;unknown
org.duckdb:duckdb_jdbc;unknown
androidx.datastore:datastore-preferences-iosx64;unknown
androidx.datastore:datastore-preferences-macosarm64;unknown
org.opensaml:opensaml-saml-impl;unknown
androidx.datastore:datastore-iosarm64;unknown
androidx.datastore:datastore-preferences-iosarm64;unknown
net.sf.jfcunit:jfcunit;unknown
jfree:jfreechart;unknown
net.sf.kosmosfs:kfs;unknown
org.apache.lucene:lucene-analyzers-kuromoji;unknown
androidx.documentfile:documentfile;unknown
org.apache.ant:ant-nodeps;unknown
org.apache.sanselan:sanselan;unknown
org.hibernate:hibernate-annotations;unknown
org.apache.commons:commons-statistics-distribution;unknown
tz.co.asoft.deploy:tz.co.asoft.deploy.gradle.plugin;unknown
top.osjf.sdk:sdk-http-feign-google;unknown
top.wu2020:wu-play-server-platform-starter;unknown
top.wu2020:wu-elasticsearch-starter;unknown
top.wu2020:wu-acw-server-ui;unknown
top.osjf.sdk:sdk-http-feign-apache;unknown
top.starsea:starsea-mail-spring-boot-starter;unknown
top.dingwen.io:pipeline-spring-boot-starter;unknown
top.chwei:agile-starter-extension-tenant;unknown
top.wu2020:wu-all-platform-starter;unknown
top.fullj:eventbus-android;unknown
top.moirae:security-rest;unknown
top.osjf.sdk:sdk-http-annotation-processor;unknown
top.chwei:agile-starter-data-mp;unknown
top.wu2020:wu-log-starter;unknown
top.wu2020:wu-easy-upsert-spring-boot-autoconfigure;unknown
top.wu2020:wu-smart-acw-client-ui;unknown
top.goodz:future-commons-unittest;unknown
torque:torque-gen;unknown
top.wu2020:wu-database-lazy-sql-core;unknown
top.remliyx.dbeasy:dbeasy;unknown
top.wu2020:wu-log-server-platform-starter;unknown
top.goodz:future-commons-dependencies;unknown
top.wu2020:wu-bionic-think;unknown
top.continew:continew-starter-log;unknown
top.zopx:square-distributed-locks-core;unknown
top.continew:continew-starter-data;unknown
top.xuegao-tzx:jianjia;unknown
tw.teddysoft.ezddd-gateway:ez-es;unknown
top.remliyx.dbeasy:dbeasy-parent;unknown
tw.teddysoft.ezddd:ezddd-entity;unknown
top.wu2020:wu-authorization-server-simple;unknown
top.wu2020:wu-database-lazy-mybatis-cure-plus-starter;unknown
top.osjf.sdk:sdk-core;unknown
top.fangwenmagician:calculation-string;unknown
top.wu2020:wu-acw-core;unknown
top.wu2020:wu-acw-client-console;unknown
top.wu2020:wu-database-lazy-orm-plus-starter;unknown
top.nextdoc4j:nextdoc4j-ui;unknown
top.continew:continew-starter-storage-core;unknown
top.populus:bees-core;unknown
top.wu2020:wu-lazy-cloud-heartbeat-server-start;unknown
top.chenlq:xxl-job-admin;unknown
top.continew:continew-starter-captcha-graphic;unknown
tv.mycujoo.mcls:mcls-player;unknown
top.andoudou:mybatis-plus-core;unknown
top.jfunc.common:utils;unknown
tools.aqua:rereso;unknown
top.continew.starter:continew-starter-extension-datapermission-core;unknown
top.dingwen.io:screw-spring-boot-starter;unknown
top.wu2020:wu-smart-agent-network-heartbeat-client;unknown
top.binfast:common-security;unknown
top.osjf.sdk:assembly-simplified-sdk;unknown
top.gotoeasy:moker-springcloud;unknown
top.osjf:interest-extension;unknown
top.lishuoboy:lishuoboy-dependency-sb;unknown
tokyo.northside:stardict4j;unknown
top.52helper:spring-boot-starter-web;unknown
top.kiswich:google.util;unknown
top.lingkang:final-sql-core;unknown
top.wu2020:wu-smart-agent-network-heartbeat-server;unknown
top.fullj:eventbus-java;unknown
th.co.geniustree:xlsBean;unknown
top.jfunc.common:common-crypto;unknown
tw.com.lig:gltfio-android-full;unknown
top.csaf:zutil-regex;unknown
top.lingkang:final-session-core;unknown
top.bayberry:springboot-stater-db;unknown
top.jfunc.json:json-orgjson;unknown
top.devforma:apsara-api;unknown
top.netkit:redis-client;unknown
tranql:tranql-connector-derby-embed-local;unknown
top.mybatisx:sql-core;unknown
top.wu2020:wu-acw-client;unknown
top.wu2020:wu-acw-webflux-simple;unknown
top.xuegao-tzx:library;unknown
