artifact;repository
javax.vecmath:vecmath;scm:svn:https://svn.java.net/svn/vecmath~svn
org.osgi:org.osgi.core;private
com.caucho:hessian;svn://svn.caucho.com/home/svn/svnroot/resin/trunk/modules/hessian
javax.el:el-api;svn+ssh://janey@svn.java.net/uel~svn/tags/uel-api-2.2.1-b04
org.mybatis:mybatis-ehcache;scm:svn:http://mybatis.googlecode.com/svn/sub-projects/caches/tags/mybatis-ehcache-1.0.0
net.stickycode.configured:sticky-configured-spring3;scm:svn:http://source.stickycode.net/tags/net.stickycode.configured/sticky-configured-spring3-5.10
uk.ac.cam.automation:seleniumframework;scm:git:git@gitlab.developers.cam.ac.uk:uis/qa/selenium-java-framework.git
ua.pp.fland.web:beans;scm:hg:http://tiny-license-server.googlecode.com/hg/
uk.org.subtrack:imaging;scm:svn:https://imageservlet.svn.sourceforge.net/svnroot/imageservlet/tags/imaging-1.1.0-beta2
org.jboss.microcontainer:jboss-dependency;scm:svn:https://svn.jboss.org/repos/jbossas/projects/microcontainer/tags/2.2.0.M2/dependency
net.sourceforge.winstone:winstone;:pserver:anonymous@winstone.cvs.sourceforge.net:/cvsroot/winstone
org.codelabor:codelabor-commons-calendar;scm:svn:https://codelabor.googlecode.com/svn/tags/codelabor-commons-calendar-1.0.0
top.netkit:toolkit;git:https://gitee.com/netkit/toolkit.git
top.jim-lee:locker-solon-plugin;scm:git:https://gitee.com/shotyou/locker-solon-plugin.git
org.osgi:org.osgi.compendium;private
site.peaklee.framework:spring-boot-netty-starter;git@https://gitee.com/lee_coding/spring-boot-netty-starter.git
se.vgregion.signer-service-schemas:signer-service-schemas-system;scm:svn:https://oppna-program-signing-service.googlecode.com/svn/signer-service-schemas/tags/signer-service-schemas-system-1.2
org.ztemplates:ztemplates; http://ztemplates.svn.sourceforge.net/svnroot/ztemplates/ztemplates/tags/ztemplates-2.4.0 
org.ztemplates:zclasspath; http://zclasspath.svn.sourceforge.net/svnroot/zclasspath/zclasspath/tags/zclasspath-1.6 
com.google.jsilver:jsilver;scm:svn:http://jsilver.googlecode.com/svn/tags/jsilver-1.0.0
org.xerial.maven:gwt-ant; scm:svn:http://www.xerial.org/svn/project/XerialJ/tags/maven-plugin/gwt-ant/gwt-ant-1.2.1 
org.bouncycastle:bc-fips;bcgit@git.bouncycastle.org:bc-fips-2.1.X-java.git
org.wso2.carbon.apim.migration.resources:org.wso2.carbon.apimgt.migrate.client;scm:svn:https://none
org.wiztools:cache-lib;scm:svn:https://cache-lib.googlecode.com/svn/cache-lib/tags/cache-lib-0.1.0
org.jcrom:jcrom;scm:svn:https://JCROM.googlecode.com/svn/tags/jcrom-2.2.0
org.wikimedia.gearman:gearman-java;scm:git:https://gerrit.wikimedia.org/r/p/integration/gearman-java
org.apache.felix:org.apache.felix.scr.ant;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.scr.ant-1.18.0
org.ujoframework:ujo-gxt-crud;scm:svn:https://ujorm.svn.sourceforge.net/svnroot/ujorm/trunk/project-m2/ujo-gxt-crud
org.unitils.compositetest:unitils-compositeTest;scm:svn:https://svn.code.sf.net/p/unitilscompositetest/code/unitils-compositeTest/tags/unitils-compositeTest-1.0.1
org.unitils.mail:unitils-mail;scm:svn:https://svn.code.sf.net/p/unitilsmail/code/tags/unitils-mail-1.0.2
org.unitils.selenium:unitils-selenium;scm:svn:https://svn.code.sf.net/p/unitilsselenium/code/tags/unitils-selenium-1.0.8
org.unitils.jodatime:unitils-jodatime;scm:svn:https://svn.code.sf.net/p/unitilsjodatime/code/tags/unitils-jodatime-1.0.3
org.unitils.cdi:unitils-cdi;scm:svn:https://svn.code.sf.net/p/unitils-cdi/code/tags/unitils-cdi-1.0.2
org.unitils.jbehave:unitils-jbehave;scm:svn:https://svn.code.sf.net/p/unitilsjbehave/code/tags/unitils-jbehave-1.0.2
org.ujoframework:ujo-gxt-core;scm:svn:https://ujorm.svn.sourceforge.net/svnroot/ujorm/trunk/project-m2/ujo-gxt-core
org.vectomatic:svgreal;scm:git:git://git/svgreal.git
org.unitils.soapui:unitils-soapui;scm:svn:https://svn.code.sf.net/p/unitilssoapui/code/tags/unitils-soapui-1.0.3
org.tinygroup:text2image;scm:svn:http://https://svn.code.sf.net/p/tinyorg/code/tags/tiny-0.0.12/trunk/opensource/text2image
org.tinygroup.annotation.0.0.12.tinygroup:container;scm:svn:http://https://svn.code.sf.net/p/tinyorg/code/tags/tiny-0.0.12/trunk/opensource/container
